,URL,Repo owner,Repo name,Issue #,Repo type,Research Prototype,Repo creation time,Issue creation time,Time Slot/d,Label
31,https://github.com/matterport/Mask_RCNN/issues/1197,matterport,Mask_RCNN,1197,1197,Yes,2017-10-19T20:28:34Z,2017-10-19T20:28:34Z,2018-12-26T06:26:19Z,432
32,https://github.com/matterport/Mask_RCNN/issues/14,matterport,Mask_RCNN,14,14,Yes,2017-10-19T20:28:34Z,2017-10-19T20:28:34Z,2017-11-03T05:06:57Z,14
33,https://github.com/matterport/Mask_RCNN/issues/230,matterport,Mask_RCNN,230,230,No,2017-10-19T20:28:34Z,2017-10-19T20:28:34Z,2018-02-04T11:23:44Z,107
34,https://github.com/matterport/Mask_RCNN/issues/321,matterport,Mask_RCNN,321,321,No,2017-10-19T20:28:34Z,2017-10-19T20:28:34Z,2018-03-12T17:49:39Z,143
35,https://github.com/matterport/Mask_RCNN/issues/663,matterport,Mask_RCNN,663,663,No,2017-10-19T20:28:34Z,2017-10-19T20:28:34Z,2018-06-11T05:49:29Z,234
36,https://github.com/NVIDIA/DeepLearningExamples/issues/321,NVIDIA,DeepLearningExamples,321,321,No,2018-05-02T17:04:05Z,2018-05-02T17:04:05Z,2019-11-28T13:07:47Z,574
37,https://github.com/NVIDIA/DeepLearningExamples/issues/831,NVIDIA,DeepLearningExamples,831,831,No,2018-05-02T17:04:05Z,2018-05-02T17:04:05Z,2021-02-13T11:24:24Z,1017
38,https://github.com/open-mmlab/mmdetection/issues/1088,open-mmlab,mmdetection,1088,1088,No,2018-08-22T07:06:06Z,2018-08-22T07:06:06Z,2019-07-31T01:36:23Z,342
39,https://github.com/open-mmlab/mmdetection/issues/4106,open-mmlab,mmdetection,4106,4106,Yes,2018-08-22T07:06:06Z,2018-08-22T07:06:06Z,2020-11-13T08:49:42Z,814
40,https://github.com/open-mmlab/mmdetection/issues/553,open-mmlab,mmdetection,553,553,Yes,2018-08-22T07:06:06Z,2018-08-22T07:06:06Z,2019-04-27T13:20:28Z,248
41,https://github.com/open-mmlab/mmdetection/issues/911,open-mmlab,mmdetection,911,911,Yes,2018-08-22T07:06:06Z,2018-08-22T07:06:06Z,2019-07-02T01:18:35Z,313
42,https://github.com/phillipi/pix2pix/issues/112,phillipi,pix2pix,112,112,Yes,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2017-10-27T06:06:30Z,344
43,https://github.com/phillipi/pix2pix/issues/115,phillipi,pix2pix,115,115,Yes,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2017-11-09T11:08:28Z,357
44,https://github.com/phillipi/pix2pix/issues/21,phillipi,pix2pix,21,21,Yes,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2016-11-29T00:22:40Z,12
45,https://github.com/phillipi/pix2pix/issues/33,phillipi,pix2pix,33,33,Yes,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2016-12-16T06:48:14Z,29
46,https://github.com/phillipi/pix2pix/issues/47,phillipi,pix2pix,47,47,Yes,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2017-02-06T06:55:58Z,81
47,https://github.com/phillipi/pix2pix/issues/49,phillipi,pix2pix,49,49,No,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2017-02-10T10:30:16Z,85
48,https://github.com/phillipi/pix2pix/issues/7,phillipi,pix2pix,7,7,No,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2016-11-23T20:03:29Z,6
49,https://github.com/phillipi/pix2pix/issues/8,phillipi,pix2pix,8,8,No,2016-11-16T22:48:50Z,2016-11-16T22:48:50Z,2016-11-24T02:14:08Z,7
50,https://github.com/pytorch/vision/issues/1477,pytorch,vision,1477,1477,No,2016-11-09T23:11:43Z,2016-11-09T23:11:43Z,2019-10-16T18:41:19Z,1070
51,https://github.com/pytorch/vision/issues/271,pytorch,vision,271,271,No,2016-11-09T23:11:43Z,2016-11-09T23:11:43Z,2017-09-25T11:53:59Z,319
52,https://github.com/pytorch/vision/issues/3198,pytorch,vision,3198,3198,No,2016-11-09T23:11:43Z,2016-11-09T23:11:43Z,2020-12-21T22:53:14Z,1502
53,https://github.com/pytorch/vision/issues/3272,pytorch,vision,3272,3272,No,2016-11-09T23:11:43Z,2016-11-09T23:11:43Z,2021-01-21T16:21:46Z,1533
54,https://github.com/pytorch/vision/issues/406,pytorch,vision,406,406,No,2016-11-09T23:11:43Z,2016-11-09T23:11:43Z,2018-02-02T16:18:44Z,449
55,https://github.com/pytorch/vision/issues/615,pytorch,vision,615,615,No,2016-11-09T23:11:43Z,2016-11-09T23:11:43Z,2018-10-02T05:12:06Z,691
56,https://github.com/qqwweee/keras-yolo3/issues/150,qqwweee,keras-yolo3,150,150,No,2018-04-03T03:36:21Z,2018-04-03T03:36:21Z,2018-07-04T21:34:03Z,92
57,https://github.com/qqwweee/keras-yolo3/issues/350,qqwweee,keras-yolo3,350,350,No,2018-04-03T03:36:21Z,2018-04-03T03:36:21Z,2019-02-21T10:05:05Z,324
58,https://github.com/qqwweee/keras-yolo3/issues/52,qqwweee,keras-yolo3,52,52,No,2018-04-03T03:36:21Z,2018-04-03T03:36:21Z,2018-05-12T14:12:51Z,39
59,https://github.com/qubvel/segmentation_models/issues/109,qubvel,segmentation_models,109,109,No,2018-06-05T13:27:56Z,2018-06-05T13:27:56Z,2019-05-24T07:56:54Z,352
60,https://github.com/qubvel/segmentation_models/issues/140,qubvel,segmentation_models,140,140,No,2018-06-05T13:27:56Z,2018-06-05T13:27:56Z,2019-07-12T13:50:35Z,402
61,https://github.com/qubvel/segmentation_models/issues/39,qubvel,segmentation_models,39,39,No,2018-06-05T13:27:56Z,2018-06-05T13:27:56Z,2019-01-23T11:48:51Z,231
62,https://github.com/qubvel/segmentation_models/issues/395,qubvel,segmentation_models,395,395,No,2018-06-05T13:27:56Z,2018-06-05T13:27:56Z,2020-08-31T15:11:17Z,818
63,https://github.com/rbgirshick/py-faster-rcnn/issues/123,rbgirshick,py-faster-rcnn,123,123,No,2015-09-25T21:04:08Z,2015-09-25T21:04:08Z,2016-03-22T13:24:34Z,178
64,https://github.com/rbgirshick/py-faster-rcnn/issues/239,rbgirshick,py-faster-rcnn,239,239,No,2015-09-25T21:04:08Z,2015-09-25T21:04:08Z,2016-07-03T09:42:11Z,281
65,https://github.com/rbgirshick/py-faster-rcnn/issues/363,rbgirshick,py-faster-rcnn,363,363,No,2015-09-25T21:04:08Z,2015-09-25T21:04:08Z,2016-10-04T07:15:55Z,374
66,https://github.com/rwightman/pytorch-image-models/issues/102,rwightman,pytorch-image-models,102,102,No,2019-02-02T05:51:12Z,2019-02-02T05:51:12Z,2020-03-14T02:17:25Z,405
