URL,Repo owner,Repo name,Issue #,Repo type,Research Prototype,Repo creation time,Issue creation time,Time Slot/d,Label,,
https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/206,junyanz,pytorch-CycleGAN-and-pix2pix,206,Solo Repository,Yes,2017-04-18T10:33:05Z,2018-02-13T10:20:10Z,300,N/A,,
https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix/issues/10,junyanz,pytorch-CycleGAN-and-pix2pix,10,Solo Repository,Yes,2017-04-18T10:33:05Z,2017-04-22T17:54:36Z,4,N/A,,
https://github.com/fizyr/keras-retinanet/issues/466,fizyr,keras-retinanet,466,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-05-18T16:29:29Z,277,N/A,,
https://github.com/fizyr/keras-retinanet/issues/325,fizyr,keras-retinanet,325,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-03-10T09:25:27Z,208,N/A,,
https://github.com/fizyr/keras-retinanet/issues/300,fizyr,keras-retinanet,300,Solo Repository,Yes,2017-08-14T09:14:29Z,2018-02-24T00:06:50Z,193,help wanted,,
https://github.com/fizyr/keras-retinanet/issues/1038,fizyr,keras-retinanet,1038,Solo Repository,Yes,2017-08-14T09:14:29Z,2019-06-19T19:15:02Z,674,N/A,,
https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/494,eriklindernoren,PyTorch-YOLOv3,494,Solo Repository,No,2018-05-21T16:05:55Z,2020-05-05T04:55:52Z,714,N/A,,
https://github.com/eriklindernoren/PyTorch-YOLOv3/issues/181,eriklindernoren,PyTorch-YOLOv3,181,Solo Repository,No,2018-05-21T16:05:55Z,2019-05-17T20:16:44Z,361,N/A,,
https://github.com/chenyuntc/simple-faster-rcnn-pytorch/issues/63,chenyuntc,simple-faster-rcnn-pytorch,63,Solo Repository,No,2017-12-09T13:13:54Z,2018-08-28T07:35:27Z,261,N/A,,
https://github.com/tensorflow/models/issues/8034,tensorflow,models,8034,Zoo Repository,No,2016-02-05T01:15:20Z,2020-01-13T10:47:06Z,1438,N/A,,
https://github.com/tensorflow/models/issues/6423,tensorflow,models,6423,Zoo Repository,No,2016-02-05T01:15:20Z,2019-03-22T12:59:14Z,1141,models:research,,
https://github.com/tensorflow/models/issues/5342,tensorflow,models,5342,Zoo Repository,No,2016-02-05T01:15:20Z,2018-09-20T09:38:52Z,958,stat:awaiting model gardener,,
https://github.com/tensorflow/models/issues/4657,tensorflow,models,4657,Zoo Repository,No,2016-02-05T01:15:20Z,2018-06-30T05:17:42Z,876,stat:awaiting response,,Question: Ask questions about implementation details.
https://github.com/tensorflow/models/issues/2623,tensorflow,models,2623,Zoo Repository,No,2016-02-05T01:15:20Z,2017-10-28T02:12:26Z,631,stat:awaiting response,,API issue: Not related to model reengineering.
https://github.com/tensorflow/models/issues/2142,tensorflow,models,2142,Zoo Repository,No,2016-02-05T01:15:20Z,2017-08-07T02:00:32Z,549,N/A,,
https://github.com/tensorflow/models/issues/1838,tensorflow,models,1838,Zoo Repository,No,2016-02-05T01:15:20Z,2017-07-03T04:37:21Z,514,type:build/install,,"Info: Ask for potential evolution/future request, or communicate with the owner of repository."
https://github.com/rwightman/pytorch-image-models/issues/271,rwightman,pytorch-image-models,271,Zoo Repository,No,2019-02-02T05:51:12Z,2020-11-04T09:16:33Z,641,help wanted,,
https://github.com/rwightman/pytorch-image-models/issues/252,rwightman,pytorch-image-models,252,Zoo Repository,No,2019-02-02T05:51:12Z,2020-10-14T14:53:44Z,620,N/A,,
https://github.com/rwightman/pytorch-image-models/issues/174,rwightman,pytorch-image-models,174,Zoo Repository,No,2019-02-02T05:51:12Z,2020-06-29T18:20:10Z,513,N/A,,
https://github.com/rwightman/pytorch-image-models/issues/124,rwightman,pytorch-image-models,124,Zoo Repository,No,2019-02-02T05:51:12Z,2020-04-13T12:47:18Z,436,N/A,,
https://github.com/rwightman/pytorch-image-models/issues/11,rwightman,pytorch-image-models,11,Zoo Repository,No,2019-02-02T05:51:12Z,2019-06-17T10:37:58Z,135,N/A,,
https://github.com/rwightman/pytorch-image-models/issues/102,rwightman,pytorch-image-models,102,Zoo Repository,No,2019-02-02T05:51:12Z,2020-03-14T02:17:25Z,405,N/A,,
https://github.com/qubvel/segmentation_models/issues/395,qubvel,segmentation_models,395,Zoo Repository,No,2018-06-05T13:27:56Z,2020-08-31T15:11:17Z,818,N/A,,
https://github.com/qubvel/segmentation_models/issues/39,qubvel,segmentation_models,39,Zoo Repository,No,2018-06-05T13:27:56Z,2019-01-23T11:48:51Z,231,N/A,,
https://github.com/qubvel/segmentation_models/issues/140,qubvel,segmentation_models,140,Zoo Repository,No,2018-06-05T13:27:56Z,2019-07-12T13:50:35Z,402,N/A,,
https://github.com/qubvel/segmentation_models/issues/109,qubvel,segmentation_models,109,Zoo Repository,No,2018-06-05T13:27:56Z,2019-05-24T07:56:54Z,352,N/A,,
https://github.com/pytorch/vision/issues/615,pytorch,vision,615,Zoo Repository,No,2016-11-09T23:11:43Z,2018-10-02T05:12:06Z,691,N/A,,
https://github.com/pytorch/vision/issues/406,pytorch,vision,406,Zoo Repository,No,2016-11-09T23:11:43Z,2018-02-02T16:18:44Z,449,N/A,,
